NACA 4412
 1.00000     0.00126
 0.99280     0.00322
 0.97989     0.00668
 0.96352     0.01098
 0.94455     0.01584
 0.92350     0.02106
 0.90075     0.02652
 0.87658     0.03212
 0.85123     0.03776
 0.82489     0.04337
 0.79774     0.04890
 0.76991     0.05430
 0.74154     0.05952
 0.71275     0.06452
 0.68365     0.06927
 0.65434     0.07374
 0.62492     0.07791
 0.59547     0.08176
 0.56607     0.08526
 0.53680     0.08840
 0.50774     0.09116
 0.47895     0.09353
 0.45050     0.09550
 0.42246     0.09706
 0.39488     0.09821
 0.36782     0.09881
 0.34135     0.09879
 0.31551     0.09818
 0.29035     0.09699
 0.26594     0.09525
 0.24231     0.09298
 0.21951     0.09022
 0.19760     0.08699
 0.17661     0.08334
 0.15660     0.07929
 0.13760     0.07489
 0.11965     0.07019
 0.10280     0.06521
 0.08709     0.06002
 0.07256     0.05465
 0.05924     0.04914
 0.04717     0.04355
 0.03639     0.03791
 0.02694     0.03226
 0.01885     0.02664
 0.01215     0.02108
 0.00688     0.01561
 0.00308     0.01027
 0.00078     0.00506
 0.00000     0.00000
 0.00078    -0.00475
 0.00308    -0.00904
 0.00688    -0.01288
 0.01215    -0.01629
 0.01885    -0.01928
 0.02694    -0.02185
 0.03639    -0.02401
 0.04717    -0.02579
 0.05924    -0.02720
 0.07256    -0.02826
 0.08709    -0.02897
 0.10280    -0.02938
 0.11965    -0.02948
 0.13760    -0.02932
 0.15660    -0.02891
 0.17661    -0.02829
 0.19760    -0.02748
 0.21951    -0.02651
 0.24231    -0.02542
 0.26594    -0.02424
 0.29035    -0.02300
 0.31551    -0.02175
 0.34135    -0.02051
 0.36782    -0.01932
 0.39488    -0.01822
 0.42246    -0.01717
 0.45050    -0.01607
 0.47895    -0.01491
 0.50774    -0.01374
 0.53680    -0.01255
 0.56607    -0.01139
 0.59547    -0.01025
 0.62492    -0.00916
 0.65434    -0.00812
 0.68365    -0.00715
 0.71275    -0.00626
 0.74154    -0.00544
 0.76991    -0.00471
 0.79774    -0.00406
 0.82489    -0.00349
 0.85123    -0.00300
 0.87658    -0.00259
 0.90075    -0.00224
 0.92350    -0.00196
 0.94455    -0.00173
 0.96352    -0.00155
 0.97989    -0.00141
 0.99280    -0.00131
 1.00000    -0.00126
